flux,wavelength,var
34.26952,3723.038,0.06109019
32.00898,3723.8945,0.06334571
49.535473,3724.7515,0.048292324
127.66054,3725.6104,0.029079784
204.2981,3726.4673,0.018265188
220.15453,3727.3267,0.015641076
229.5917,3728.184,0.014768658
271.7438,3729.0437,0.012578043
276.77963,3729.9016,0.012676857
199.27625,3730.7598,0.018108854
69.159004,3731.62,0.028902918
36.536003,3732.4785,0.037229646
33.158962,3733.339,0.040678553
28.836657,3734.198,0.042950638
26.311087,3735.059,0.06819421
29.03461,3735.9182,0.0689582
32.15209,3736.7798,0.06753894
30.981682,3737.6394,0.06905632
32.049202,3738.4995,0.06848173
38.30153,3739.3613,0.06453104
40.95973,3740.2214,0.05957559
37.98055,3741.084,0.05957982
40.239185,3741.9446,0.054816157
43.280415,3742.8076,0.052644454
41.170616,3743.6687,0.054456044
34.851334,3744.5298,0.058099505
32.069504,3745.3933,0.06005108
36.136845,3746.2551,0.06112206
37.17033,3747.119,0.06321973
31.003626,3747.981,0.07058852
27.391546,3748.8452,0.07482873
27.10265,3749.7075,0.0740078
31.259766,3750.5703,0.07071723
31.632898,3751.4353,0.07090549
33.125305,3752.298,0.067649245
34.998104,3753.1633,0.062861614
33.331406,3754.0269,0.062210687
35.65017,3754.8923,0.06392631
42.471104,3755.7563,0.064054705
39.98414,3756.6204,0.06939522
39.511112,3757.4866,0.07210382
35.03202,3758.351,0.074930094
39.51404,3759.2175,0.07447517
44.48841,3760.0825,0.07202748
40.725555,3760.9495,0.071738794
37.2618,3761.8147,0.07070199
41.436928,3762.6802,0.06554599
42.604336,3763.5479,0.064027436
36.131462,3764.4136,0.06928937
34.350254,3765.2817,0.07502293
39.99093,3766.1477,0.071062006
34.708755,3767.0164,0.07734669
31.552109,3767.8828,0.08146639
29.174225,3768.7495,0.05243785
30.622538,3769.619,0.053650066
35.58594,3770.4858,0.06899945
33.572323,3771.3555,0.08375322
27.313334,3772.2231,0.088605024
35.209843,3773.093,0.0810159
33.479176,3773.961,0.08253474
32.241856,3774.829,0.085899994
38.03112,3775.6995,0.083076365
39.127884,3776.568,0.083029106
38.50345,3777.439,0.083243005
41.0517,3778.308,0.082206875
42.062145,3779.1792,0.0812691
39.92972,3780.0486,0.083830796
42.091652,3780.9182,0.08043521
43.678314,3781.79,0.07896701
40.346207,3782.66,0.08218521
41.575974,3783.5322,0.07948229
46.93801,3784.4026,0.07451444
50.185925,3785.2754,0.06993668
48.394226,3786.1462,0.06990652
47.53994,3787.017,0.07151384
45.959038,3787.8904,0.076025315
39.16087,3788.762,0.08518872
39.479244,3789.6355,0.08784656
46.766727,3790.5073,0.08174515
42.031322,3791.3816,0.087374896
39.112717,3792.254,0.09324599
34.024708,3793.1262,0.099561036
33.6154,3794.0007,0.10280574
32.732616,3794.8735,0.10460981
28.063568,3795.7488,0.109987035
29.203201,3796.622,0.10330285
34.97209,3797.4973,0.09493618
29.510952,3798.371,0.09905605
35.722843,3799.2449,0.09251851
31.967083,3800.1208,0.09547718
27.961992,3800.995,0.09816437
31.748396,3801.8718,0.09687019
30.859459,3802.746,0.09898715
34.50291,3803.6233,0.09373238
43.21718,3804.498,0.08712157
43.939945,3805.3755,0.0852216
38.270466,3806.2507,0.08995558
37.420746,3807.1265,0.09030641
43.196262,3808.0044,0.08379705
39.912544,3808.8804,0.08891497
38.780746,3809.7588,0.09129992
46.06402,3810.6353,0.08641552
50.25536,3811.514,0.08438293
47.582794,3812.3906,0.0872998
40.93305,3813.2678,0.092941135
40.949127,3814.147,0.09381005
50.817482,3815.0247,0.08348755
45.43239,3815.9043,0.08642251
44.3791,3816.7822,0.08429779
42.951767,3817.662,0.08601359
49.14966,3818.5405,0.08085687
44.82569,3819.419,0.083059736
39.982693,3820.2998,0.084556654
43.83873,3821.1785,0.08206544
44.15197,3822.0596,0.08341554
41.11671,3822.9392,0.087361276
50.711426,3823.8206,0.08180079
46.118134,3824.7002,0.089402
35.79906,3825.58,0.10461151
37.574783,3826.4622,0.10725004
39.978146,3827.3425,0.10770954
39.411686,3828.225,0.10945865
36.677025,3829.1057,0.11187712
38.03285,3829.9888,0.11031215
39.549404,3830.8699,0.105487965
34.869293,3831.7512,0.11178133
29.768412,3832.6348,0.12047581
28.479383,3833.5164,0.12133724
33.71975,3834.4004,0.113462284
39.24279,3835.2827,0.10713265
33.723515,3836.167,0.11436998
37.320812,3837.0493,0.11450229
33.375237,3837.9321,0.12601681
29.75162,3838.8171,0.13458252
30.053848,3839.7004,0.13613816
29.993034,3840.586,0.13443361
38.181393,3841.4692,0.11831808
35.48613,3842.355,0.12132499
33.380016,3843.239,0.12641747
37.249542,3844.1233,0.11798521
39.066223,3845.0095,0.11549597
39.5792,3845.894,0.115127236
39.679142,3846.781,0.11246086
41.472164,3847.666,0.10992657
41.872185,3848.553,0.10884659
40.368263,3849.4385,0.111919336
43.362965,3850.3242,0.10675525
43.23939,3851.212,0.10836594
45.505302,3852.098,0.1060788
46.357025,3852.986,0.103095435
49.114277,3853.8726,0.10096193
42.119213,3854.7612,0.10605147
42.093563,3855.6482,0.105354846
44.398994,3856.5352,0.10186497
45.440628,3857.4243,0.1005181
45.87605,3858.3118,0.102956064
39.520443,3859.2014,0.11647423
41.677887,3860.089,0.11941938
48.314327,3860.9795,0.10622608
47.0352,3861.8677,0.107566416
47.739956,3862.7559,0.10726095
51.695107,3863.6467,0.10551366
50.38497,3864.5356,0.10498728
43.909615,3865.4268,0.10988531
39.82225,3866.316,0.11193422
41.673126,3867.2075,0.107714
47.244144,3868.0972,0.10003629
55.017944,3868.989,0.090678915
58.701584,3869.8794,0.08816476
53.1866,3870.7695,0.09899392
44.76442,3871.662,0.11315044
41.12658,3872.5527,0.120732285
41.978443,3873.4458,0.1211719
42.13943,3874.337,0.12126299
43.085087,3875.2302,0.12057817
43.98443,3876.1218,0.11889458
