flux,wavelength,var
7.4379764,3538.5132,0.057053253
10.044731,3539.3271,1.0
12.649601,3540.143,0.05984038
11.784859,3540.9575,0.06368975
2.5610785,3541.7742,0.0769748
7.3995137,3542.5889,0.07574802
3.4521596,3543.406,0.08208859
5.9839034,3544.221,0.085458554
2.4799783,3545.0364,0.09560455
4.298401,3545.8538,0.09542704
8.804662,3546.6697,0.09019172
9.521617,3547.4873,0.09416295
5.822079,3548.3035,0.10279561
3.8772256,3549.1218,0.109969325
8.2106085,3549.9382,0.09833415
5.7625203,3550.755,0.10045424
1.7188781,3551.5737,0.10059864
1.5495219,3552.3906,0.10289155
9.024608,3553.21,0.08680781
8.281563,3554.0273,0.08715722
3.5211332,3554.8467,0.09363446
-0.27774107,3555.6646,0.10457422
-2.919848,3556.4827,0.11037443
2.0612218,3557.3027,0.09993214
11.639312,3558.121,0.07932427
13.16978,3558.9414,0.077070296
8.985231,3559.7603,0.08315707
5.1544576,3560.581,0.05628443
3.3271844,3561.4004,0.0627861
3.6857731,3562.2195,0.06135514
6.3803644,3563.041,0.09081262
8.697031,3563.8606,0.091030076
6.9580374,3564.6824,0.09891671
4.855414,3565.5024,0.111200966
5.7512507,3566.3247,0.11239946
-1.2920634,3567.145,0.13094282
-1.2485437,3567.9678,0.14193289
2.5441296,3568.7886,0.13362578
2.3679202,3569.6096,0.14664668
0.10114047,3570.4326,0.15156178
1.773498,3571.254,0.14318219
5.889323,3572.0774,0.12332446
5.6661396,3572.8992,0.11494296
5.8361707,3573.7231,0.1127004
1.0050733,3574.5454,0.12661326
5.7830234,3575.3677,0.11730274
1.2277696,3576.1921,0.123578675
2.527645,3577.015,0.121743016
5.223989,3577.8396,0.11459556
4.4044323,3578.6626,0.11973481
3.9964206,3579.488,0.12886713
1.3346623,3580.3113,0.13864723
12.100693,3581.1353,0.11475663
6.03474,3581.961,0.1254874
2.8835638,3582.785,0.11976594
8.073454,3583.611,0.10839633
3.583792,3584.4355,0.10523102
-0.2878226,3585.262,0.11504333
5.1712337,3586.087,0.11150294
9.009434,3586.9119,0.11672568
6.417383,3587.739,0.13115396
4.123664,3588.5645,0.14839803
7.664749,3589.3918,0.14401598
3.9547186,3590.2178,0.15418345
1.8284754,3591.0457,0.10180466
9.808048,3591.8716,0.084466115
9.78044,3592.698,0.09753998
5.3385463,3593.5264,0.11479018
4.886843,3594.3533,0.11201584
1.5004201,3595.182,0.11403198
4.2453465,3596.009,0.11464632
0.18588059,3596.8381,0.1302304
2.9616683,3597.6655,0.13737999
1.4746673,3598.4932,0.15402952
3.26729,3599.3232,0.15125191
3.8793797,3600.1511,0.14871499
8.338969,3600.9814,0.14173044
11.680231,3601.8098,0.1327338
5.1813693,3602.6404,0.1486529
5.3015018,3603.4692,0.15334088
9.502706,3604.298,0.13503146
3.791559,3605.1292,0.15769067
1.5944283,3605.9585,0.16770935
5.2832484,3606.79,0.16363582
4.764621,3607.6199,0.17208745
1.8213549,3608.4517,0.17419183
4.5685873,3609.2817,0.16872491
6.7223377,3610.1123,0.16197498
-1.2636393,3610.9446,0.19622134
-0.4853221,3611.7751,0.17878601
5.2916665,3612.6082,0.1469572
0.98414505,3613.4392,0.14214784
4.063492,3614.2725,0.13713925
4.665616,3615.104,0.13133162
4.558535,3615.9355,0.1446166
4.635542,3616.7693,0.14794213
3.3596325,3617.6016,0.16969049
2.9814842,3618.4355,0.18066989
3.7714322,3619.268,0.18628731
6.756401,3620.1028,0.1798516
5.4847407,3620.9355,0.19379403
0.16561171,3621.7686,0.22427279
1.2046368,3622.6038,0.21175224
4.574713,3623.437,0.19423136
3.290005,3624.2727,0.1954422
4.697753,3625.1064,0.17685154
8.698099,3625.9424,0.14349769
3.0988653,3626.7766,0.15558739
6.851864,3627.6108,0.14850615
1.7008599,3628.4473,0.1728793
2.4375322,3629.282,0.1714793
2.844046,3630.119,0.17728809
5.874946,3630.9539,0.16800264
4.805,3631.7915,0.17031698
2.0738156,3632.6267,0.18916549
2.1585596,3633.4644,0.1790978
2.977278,3634.3003,0.1656699
8.082857,3635.1365,0.14474961
4.2766576,3635.9746,0.15322112
1.3243005,3636.811,0.17895855
1.2246188,3637.65,0.18835834
1.1245645,3638.4866,0.19519581
0.9667577,3639.3257,0.20756175
0.7635849,3640.1628,0.21565433
1.7159292,3641.0002,0.2205682
5.468379,3641.8398,0.19801787
8.675631,3642.6777,0.16792747
6.0777617,3643.5176,0.17236805
6.027584,3644.356,0.16792051
8.808075,3645.196,0.16034696
4.388197,3646.0347,0.17047109
5.697139,3646.8735,0.16230053
6.2142153,3647.7146,0.1523247
4.552476,3648.5537,0.15315127
5.8036356,3649.395,0.15897043
6.3529425,3650.2346,0.1651338
9.066363,3651.0762,0.16377628
4.2318397,3651.9163,0.18855749
3.2193544,3652.7563,0.21012145
2.7856693,3653.5986,0.21624489
5.7860694,3654.4392,0.19608329
4.778146,3655.282,0.20314084
1.7292719,3656.1228,0.19875386
3.0804307,3656.9658,0.18605442
5.988519,3657.8071,0.16837932
6.2621875,3658.6487,0.17437392
8.093459,3659.4924,0.18993288
6.236382,3660.334,0.2095163
7.7773013,3661.1782,0.2164018
5.9778633,3662.0205,0.23822674
5.5408173,3662.8647,0.24618047
4.257504,3663.7075,0.26551408
4.159152,3664.5505,0.25517142
8.279192,3665.3955,0.23819464
7.3979917,3666.2388,0.23380195
1.4857988,3667.0842,0.24808086
2.622617,3667.9277,0.24231759
3.8186932,3668.7734,0.24103573
5.6477075,3669.6174,0.23290731
6.3869634,3670.4617,0.24259011
5.3499227,3671.308,0.23957656
5.608883,3672.1526,0.23026648
5.056549,3672.9995,0.14424689
1.8622725,3673.8445,0.15219638
2.4669976,3674.6917,0.17423977
3.486071,3675.5369,0.22886878
2.128383,3676.3826,0.23291872
4.126582,3677.2302,0.22492966
3.777991,3678.0762,0.22997683
7.7058144,3678.9243,0.23214191
4.103819,3679.7705,0.25892198
0.47517133,3680.6191,0.2657939
6.0779557,3681.466,0.22141999
6.340332,3682.313,0.19722256
4.7971888,3683.162,0.19664176
4.934743,3684.0093,0.19835927
7.0479407,3684.859,0.18698792
5.6670666,3685.7065,0.20712312
2.0908067,3686.5564,0.21832913
2.1750033,3687.4045,0.23714878
2.034341,3688.2527,0.23492196
1.1288067,3689.1035,0.24297293
3.0372038,3689.952,0.20968278
3.2316813,3690.803,0.21347867
1.8799571,3691.6519,0.22813194
3.6923542,3692.5032,0.21287212
5.540256,3693.3528,0.19991407
7.660106,3694.2043,0.18672392
7.381594,3695.0544,0.18697883
2.960784,3695.9043,0.20774777
2.3396459,3696.7566,0.22192486
5.2760015,3697.607,0.2234959
3.8305507,3698.4597,0.22571994
5.1971836,3699.3105,0.23658626
5.2423534,3700.1636,0.24720982
3.9844093,3701.015,0.25580367
4.728419,3701.8662,0.2576802
3.8445847,3702.7197,0.26060122
3.7082994,3703.5715,0.26664403
3.2825987,3704.4255,0.27443236
3.4413495,3705.2778,0.26739576
4.2716093,3706.1323,0.25711775
2.769035,3706.9849,0.27152818
2.1502123,3707.8376,0.28465718
3.9788833,3708.6929,0.30649468
-0.12208541,3709.546,0.37344822
3.5343912,3710.4014,0.31602567
4.8901806,3711.255,0.2922503
2.8544455,3712.1106,0.30931407
5.293896,3712.9646,0.30421203
8.080979,3713.8188,0.28381804
5.9713755,3714.675,0.29960886
7.3955727,3715.5295,0.2884671
6.7281084,3716.3865,0.3087556
6.1378703,3717.2415,0.31123188
4.9838176,3718.0986,0.3410001
6.2923126,3718.954,0.31514537
5.66602,3719.8096,0.33203867
3.2694867,3720.6672,0.34092012
4.7310934,3721.5234,0.32283235
8.260075,3722.3816,0.29539365
7.7947826,3723.2378,0.30399033
8.637183,3724.0962,0.31155708
11.741773,3724.9531,0.28839126
11.342804,3725.81,0.26681012
14.737904,3726.6692,0.23168327
15.495328,3727.5264,0.20878822
14.967829,3728.386,0.20853165
14.426147,3729.2437,0.21054296
14.932685,3730.1038,0.21674354
13.995704,3730.962,0.23345022
9.662001,3731.82,0.26453617
8.502924,3732.6807,0.28413242
5.742162,3733.5393,0.3241434
5.466213,3734.4001,0.34183118
2.1557772,3735.2595,0.37116697
5.830121,3736.1206,0.3539942
4.3405967,3736.9802,0.36923057
4.197351,3737.8398,0.37223253
3.2886648,3738.702,0.38461944
0.47923514,3739.562,0.39381844
6.8347583,3740.4243,0.33767363
6.241728,3741.2847,0.35416943
1.7637944,3742.1475,0.4023556
4.8811183,3743.0083,0.3460531
3.7466927,3743.8694,0.32594427
4.4841394,3744.733,0.2979743
4.841576,3745.5942,0.28240946
6.1081624,3746.458,0.27666274
5.1667714,3747.3198,0.2868795
3.027641,3748.1838,0.3122069
6.140709,3749.0461,0.32463533
1.2052131,3749.9087,0.38337213
2.898392,3750.7734,0.36570638
5.8937764,3751.6362,0.3086304
4.958924,3752.5015,0.31253922
4.2837305,3753.3645,0.34120035
3.1119237,3754.23,0.34668887
3.8844316,3755.094,0.33626124
6.6374936,3755.9578,0.29996017
6.603068,3756.8237,0.2740429
4.7636957,3757.688,0.2763144
6.700786,3758.5547,0.26739076
8.056464,3759.4192,0.25837803
7.239439,3760.2861,0.27723378
4.4943695,3761.1511,0.31350663
3.8049402,3762.0186,0.3395517
5.733993,3762.8838,0.33279064
3.9587657,3763.7495,0.3498659
2.9953802,3764.6174,0.36964956
6.97521,3765.4834,0.33243766
6.636592,3766.3518,0.34321404
4.234028,3767.2183,0.35754916
9.252649,3768.087,0.2832328
5.750576,3768.9539,0.28074938
4.327618,3769.821,0.25025988
4.292578,3770.6902,0.24920781
6.217922,3771.5576,0.26463878
7.1600723,3772.4272,0.27726632
7.3577094,3773.2952,0.28083494
7.7096643,3774.1653,0.25530997
4.5033565,3775.0334,0.23247351
2.3875346,3775.9019,0.19891287
3.758883,3776.7727,0.18473288
6.158365,3777.6416,0.1952624
5.186459,3778.5127,0.22735499
3.0740066,3779.382,0.28410676
4.912065,3780.2534,0.28349617
5.8297877,3781.123,0.28732675
7.7010093,3781.993,0.27945298
9.091853,3782.865,0.26295632
2.164466,3783.735,0.3064956
2.858869,3784.6077,0.31860912
5.1245313,3785.4785,0.28823286
3.0982718,3786.3513,0.30305025
2.2115643,3787.2224,0.31125212
3.3936498,3788.0938,0.3011466
3.9699073,3788.967,0.30567327
5.2404284,3789.8386,0.32395682
6.627755,3790.713,0.33418295
6.119011,3791.585,0.35935116
5.662231,3792.459,0.35858876
5.986652,3793.3315,0.3093757
2.969598,3794.2043,0.3222418
-1.1224425,3795.079,0.38004568
6.488371,3795.9521,0.29584178
6.2946143,3796.8274,0.3203345
4.9688783,3797.701,0.35227448
4.2802687,3798.5767,0.3817073
6.012463,3799.4504,0.37315282
6.8059444,3800.3247,0.36526883
1.1527957,3801.201,0.40735817
4.307449,3802.0757,0.36297604
5.2793565,3802.9521,0.34133253
6.5312514,3803.827,0.31062648
6.232284,3804.7043,0.30616355
0.3921421,3805.5796,0.34033018
2.7017379,3806.455,0.34383148
5.4175196,3807.3328,0.34479514
6.346401,3808.2087,0.36303428
7.6774592,3809.0867,0.3670185
4.81714,3809.9631,0.39893335
3.2636588,3810.8418,0.41185665
5.0596604,3811.7183,0.3987913
3.6800263,3812.5952,0.43475294
2.8768287,3813.4744,0.42571726
6.07813,3814.3516,0.3863013
4.854588,3815.2312,0.42449567
3.992156,3816.109,0.43338603
3.37924,3816.989,0.44543132
2.4407053,3817.867,0.4436317
3.8687544,3818.7454,0.4166208
3.4213524,3819.6257,0.43020695
4.18109,3820.5046,0.43025738
1.3396102,3821.3857,0.47863087
3.7550137,3822.265,0.42861024
7.9688306,3823.1462,0.38677296
6.6673217,3824.026,0.40174073
5.259027,3824.9053,0.40629265
5.229756,3825.787,0.43265256
4.2982817,3826.6672,0.45994902
4.7406893,3827.55,0.45937645
5.54709,3828.4304,0.4564795
0.10479434,3829.3132,0.5551623
5.0570703,3830.194,0.46096292
